Algorithm,Accuracy,Penalty,Taxa,Internal_Threshold
Spiec_Easi,0.50661,0.49338999999999994,Taxa_10,10
Xiao,0.8364799999999996,0.16352,Taxa_10,10
Ma_Paper,0.6553000000000001,0.34470000000000006,Taxa_10,10
Correlation,0.5043,0.49570000000000003,Taxa_10,10
Spring,0.5029,0.4971,Taxa_10,10
Spiec_Easi,0.5024199999999999,0.49758000000000024,Taxa_10,50
Xiao,0.7723400000000001,0.2276599999999998,Taxa_10,50
Ma_Paper,0.58684,0.41316,Taxa_10,50
Correlation,0.50029,0.4997100000000001,Taxa_10,50
Spring,0.4985999999999999,0.5014000000000002,Taxa_10,50
Spiec_Easi,0.5008100000000001,0.4991899999999999,Taxa_10,100
Xiao,0.77063,0.22938,Taxa_10,100
Ma_Paper,0.5834100000000001,0.40659000000000006,Taxa_10,100
Correlation,0.49772000000000005,0.50228,Taxa_10,100
Spring,0.49773,0.50227,Taxa_10,100
