megahit_566092,megahit_2133670,megahit_2227915,megahit_3085420,megahit_3050782,megahit_2268436,megahit_2563372,megahit_2637592,megahit_1808341,megahit_1216747,megahit_2944840
0,4,8,0,4,0,12,44,1,4,0
185,142,58,96,155,82,885,743,34,166,118
645,500,206,390,428,312,3067,2764,83,770,438
4,0,0,0,0,0,8,10,2,2,2
566,393,180,406,393,277,2781,2543,91,674,369
662,486,179,334,476,322,2926,2935,132,662,425
540,378,144,298,385,258,2622,2356,108,632,274
0,0,0,6,0,0,12,8,0,4,0
136,110,61,96,116,115,590,642,35,190,98
162,114,78,88,90,48,260,406,28,160,79
260,230,110,156,207,180,1439,1278,46,272,171
2,4,0,0,2,0,12,8,8,0,0
