,megahit_2920009,megahit_1768261,megahit_2574079,megahit_1789066,megahit_1213354,megahit_2236144,megahit_3018502,megahit_878698,megahit_1328419,megahit_920992,megahit_3054442,megahit_3173320
megahit_2920009,0.0,0.015987482026350475,0.014314073549315909,0.0,0.0,0.017003736202057196,0.0,0.0,0.13799978993912465,0.0,0.0,0.0
megahit_1768261,0.015987482026350475,0.0,0.018591664561920518,0.0,0.0,0.007831838977864991,0.0,0.0,0.1189533483518771,0.0,0.0,0.0
megahit_2574079,0.014314073549315909,0.018591664561920518,0.0,0.0,0.0,0.006091456645504589,0.0,0.0,0.13999807450432056,0.0,0.0,0.0
megahit_1789066,0.0,0.0,0.0,0.0,0.00235088671337802,0.0,0.0018356047939069864,0.0027438511612960514,0.0,0.0016402732216207472,0.0013916005597459646,0.014275338802567594
megahit_1213354,0.0,0.0,0.0,0.00235088671337802,0.0,0.0,0.0020672412345192903,0.0014031586047755784,0.0,0.0016203854314577049,0.0008691758244110392,0.013969554388007621
megahit_2236144,0.017003736202057196,0.007831838977864991,0.006091456645504589,0.0,0.0,0.0,0.0,0.0,0.12539576248754003,0.0,0.0,0.0
megahit_3018502,0.0,0.0,0.0,0.0018356047939069864,0.0020672412345192903,0.0,0.0,0.004848500801157507,0.0,0.0010449092825759454,0.0014352800280034161,0.01905842245438827
megahit_878698,0.0,0.0,0.0,0.0027438511612960514,0.0014031586047755784,0.0,0.004848500801157507,0.0,0.0,0.0028979003577644935,0.0017744963250596602,0.008573996886124258
megahit_1328419,0.13799978993912465,0.1189533483518771,0.13999807450432056,0.0,0.0,0.12539576248754003,0.0,0.0,0.0,0.0,0.0,0.0
megahit_920992,0.0,0.0,0.0,0.0016402732216207472,0.0016203854314577049,0.0,0.0010449092825759454,0.0028979003577644935,0.0,0.0,0.0005521488339870206,0.016725774110598723
megahit_3054442,0.0,0.0,0.0,0.0013916005597459646,0.0008691758244110392,0.0,0.0014352800280034161,0.0017744963250596602,0.0,0.0005521488339870206,0.0,0.015878731396588464
megahit_3173320,0.0,0.0,0.0,0.014275338802567594,0.013969554388007621,0.0,0.01905842245438827,0.008573996886124258,0.0,0.016725774110598723,0.015878731396588464,0.0
