,metric,abundances
megahit_610033,0.7884490590525632,204
megahit_1853785,0.7808241401687216,298
megahit_2013094,0.7774172615184944,332
megahit_114652,0.7774172615184944,3460
megahit_1317643,0.7762816353017521,693
megahit_2806780,0.7762816353017521,1286
megahit_275827,0.7761194029850745,922
megahit_902791,0.7723880597014925,1117
megahit_3296524,0.772225827384815,204
megahit_948994,0.7714146658014276,557
megahit_421846,0.7714146658014276,845
megahit_374698,0.7714146658014276,701
megahit_2158663,0.7714146658014276,274
